Name,Agent Number,Network Number,Latitude,Longitude,Height,Posn_Precision,Observing Authority
Cambridge 4,2128,C75953,-37.919,175.498,76,G,N/A
Tokirima,2261,C85901,-38.94,175.011,152,G,N/A
Makaretu Research Station,3096,D96931,-39.951,176.321,335,G,N/A
Oaonui Wind,3504,E93482,-39.406,173.809,33,G,N/A
Kinleith 2,1723,B85285,-38.28,175.888,383,G,N/A
Napier Aero,2977,D96481,-39.468,176.872,2,G,N/A
"Christchurch,Bromley",4870,H32573,-43.527,172.702,9,G,N/A
Mahinerangi Dam,5683,I59891,-45.883,169.975,396,G,N/A
Invercargill Aero Aws,11104,I68435,-46.41104,168.31779,3,H,Metservice
Kaikohe Aws,1134,A53487,-35.41722,173.82289,204,H,Metservice
Kaikoura Aws,4506,G23464,-42.42038,173.69627,108,H,Metservice
Kaitaia Ews,17067,A53127,-35.13352,173.26294,85,H,Niwa
Kaitaia Aero Ews,18183,A53026,-35.0677,173.2874,80,H,Niwa/Nrl
Kawerau Aws,36750,B86075,-38.08736,176.6997,42,H,Metservice
"Kaikoura, Middle Creek",41125,G23365,-42.369,173.68,5,G,Niwa/Ecan
Kaitaia Airport Aws,43952,A53028,-35.06779,173.28628,77,H,Metservice
Kerikeri Ews,1056,A53191,-35.183,173.926,79,G,N/A
Lake Tekapo Ews,24945,H40042,-44.00173,170.44319,762,H,Niwa
Lake Moeraki Ews,25506,F39722,-43.71882,169.26703,10,H,Niwa
Kerikeri Aerodrome Aws,37258,A53295,-35.26279,173.91136,149,H,Metservice
Lake Karapiro Cws,37656,C75955,-37.925,175.54,55,G,Niwa
Leigh 2 Ews,1340,A64282,-36.26925,174.7992,27,H,N/A
Lauder Ews,5535,I59065,-45.0401,169.68419,375,H,Niwa
Blenheim Research Ews,12430,G13495,-41.49891,173.96285,4,H,N/A
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A
Palmerston North Ews,21963,E0536D,-40.38195,175.60915,21,H,Niwa/Agresearch
New Plymouth Aero Aws,2283,C94012,-39.00786,174.18382,28,H,Metservice
Oamaru Aws,25937,I50194,-45.10148,170.95052,40,H,N/A
Ngawi Aws,2685,D15521,-41.5885,175.2337,8,H,Metservice
Napier Aero Aws,2980,D96484,-39.47033,176.86463,3,H,Metservice
Paraparaumu Aero,3145,E04991,-40.907,174.984,5,G,N/A
Palmerston North Aero Aws,3243,E05368,-40.31858,175.61459,39,H,Metservice
Ohakea Aws,37257,E05136,-40.20301,175.37203,47,H,Metservice
Mt Philistine Ews,38103,F21852,-42.88314,171.53229,1655,H,Niwa
Pahiatua Ews,38224,D05591,-40.507,175.916,110,G,Niwa
Oamaru Ews,40986,I51003,-45.057,171.023,20,G,Niwa
Napier Ews,41330,D96494,-39.49846,176.91189,7,H,Niwa
Nelson Aero Aws,4271,G13322,-41.30081,173.21608,6,H,Metservice
Ohoka Cws,43251,H32359,-43.3423,172.56574,39,H,Niwa
Mayfield At Ruapuna Forecast,43538,H31827,-43.85887,171.29938,325,H,Niwa
Otaio @ Springbank Road,43845,H41511,-44.572,171.159,14,G,N/A
Okarito Ews,44556,F30213,-43.22161,170.16346,1,H,Niwa
Manukau Heads Ews,45217,A74054,-37.05299,174.54906,240,H,Niwa
Oamaru Airport Aws,5142,I41902,-44.97212,171.08108,30,H,Metservice
Nugget Point Aws,5893,I69482,-46.44767,169.81215,131,H,Metservice
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Paraparaumu Aero Ews,12442,E04995,-40.90392,174.98437,5,H,Niwa
Rangiora Ews,17244,H32364,-43.32858,172.61114,23,H,Niwa
Rotorua Aero Aws,1770,B86133,-38.10592,176.31481,286,H,Metservice
Ranfurly Ews,18593,I50115,-45.12427,170.10045,450,H,Niwa
Pukekohe Ews,2006,C74283,-37.20637,174.86384,88,H,Niwa
Pigeon Creek Cws,26104,F21642,-42.682,171.456,105,G,Niwa
Pukaki Aerodrome Aws,36596,H40214,-44.24519,170.11671,461,H,Metservice
Pureora Forest Cws,37016,C85552,-38.517,175.58,549,G,Niwa
Roxburgh Wxt Aws,38673,I59534,-45.51717,169.31316,160,H,Metservice
Reefton Ews,3925,F21182,-42.116,171.86,198,G,Niwa / West Coast Rural Fire Dis
Richmond Ews,40751,G13314,-41.32773,173.18615,1,H,Niwa/Tdc
Rotorua Ews,41077,B86128,-38.146,176.258,288,G,Niwa
Russell Cws,41262,A54212,-35.268,174.136,15,G,Niwa
Queenstown Ews,41331,I58062,-45.03476,168.66364,322,H,Niwa
Puysegur Point Aws,4141,F66162,-46.1562,166.61299,45,H,Metservice
"Porirua, Elsdon Park Aws",41559,E1418H,-41.127,174.835,7,G,Niwa/Porirua City Council
Queenstown Aero Aws,5451,I58075,-45.01762,168.7402,357,H,Metservice
South West Cape Aws,5909,I77241,-47.277,167.463,103,G,Metservice
Paraparaumu Aero Aws,8567,E04994,-40.90455,174.98517,8,H,Metservice
Secretary Island Aws,9533,F56280,-45.22092,166.88498,19,H,Metservice
"Christchurch, Kyle St Ews",24120,H3256F,-43.53074,172.60769,6,H,Niwa
Cromwell Ews,26381,I59013,-45.03392,169.1955,213,H,Niwa
Culverden Aws,37651,H22785,-42.77014,172.88947,181,H,Metservice
Clyde 2 Ews,39564,I5923C,-45.20342,169.3182,170,H,Niwa
Cass Ews,44637,H31073,-43.03447,171.75999,571,H,Niwa
Toenepi Ews,23908,B75752,-37.71958,175.58528,48,H,Niwa
"Auckland, Mangere Ews",22719,C64972,-36.96177,174.77642,5,H,Niwa
Mana Island,3334,E14072,-41.09429,174.78517,2,H,N/A
Okarito,4053,F30212,-43.22137,170.16533,2,H,N/A
Balmoral West Cws,43342,H22753,-42.794,172.57,340,G,Niwa
Kaitaia Observatory,1041,A53125,-35.134,173.263,85,G,N/A
"Eyrewell, Ngai Tahu East Cws",40744,H32443,-43.43009,172.44235,72,H,N/A
Winchmore Ews,4764,H31883,-43.79346,171.79512,160,H,Niwa/Agresearch
Snowdon Raws,17610,H31463,-43.47,171.672,560,T,N/A
Kopua,2488,D06022,-40.079,176.274,311,G,N/A
"Holland Road, Hamilton Cws",26645,B75735,-37.748,175.367,45,H,N/A
"Fernhill, Substation",40279,D96574,-39.59996,176.76119,30,H,Niwa
